"","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2005"," 2005"," 2005"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Costa Rica","0.3","0.5","0.1","0.3","0.4","0.1","0.3","0.6","0.1","0.3","0.5","0.1","0.3","0.5","0.2"
"Côte d'Ivoire","3.9","5.1","2.8","4.0","5.1","2.9","3.9","5.0","2.7","3.4","4.6","2.1","3.2","4.3","2.0"
"Croatia","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.3","0.4","0.2"
"Cuba","0.3","0.1","0.5","0.3","0.1","0.5","0.3","0.2","0.5","0.3","0.2","0.4","0.4","0.4","0.4"
"Cyprus","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.2","0.1"
"Czechia","0.3","0.4","0.2","0.3","0.4","0.2","0.3","0.5","0.2","0.4","0.6","0.2","0.4","0.7","0.2"
"Democratic People's Republic of Korea","1.9","2.0","1.8","1.9","2.1","1.8","2.3","2.5","2.1","2.5","2.7","2.2","2.1","2.6","1.7"
"Democratic Republic of the Congo","3.2","3.9","2.5","3.3","4.0","2.5","3.0","3.8","2.2","2.9","3.7","2.1","3.3","4.2","2.4"
"Denmark","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.3","0.2","0.3","0.4","0.2","0.3","0.4","0.2"
"Djibouti","2.4","2.9","1.8","2.3","2.9","1.8","2.3","2.8","1.8","2.9","3.5","2.3","3.4","4.2","2.6"
"Dominican Republic","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.5"
"Ecuador","0.6","0.8","0.4","0.6","0.9","0.4","0.7","1.0","0.4","0.9","1.2","0.5","1.2","1.7","0.7"
"Egypt","0.2","0.3","0.2","0.2","0.3","0.2","0.2","0.3","0.2","0.3","0.3","0.2","0.3","0.3","0.3"
"El Salvador","0.2","0.3","0.1","0.2","0.4","0.1","0.2","0.3","0.1","0.3","0.4","0.2","0.5","0.6","0.3"
"Equatorial Guinea","1.9","2.2","1.5","2.0","2.4","1.6","2.4","2.9","1.8","2.3","2.9","1.7","3.3","4.4","2.2"
"Eritrea","4.2","5.6","2.7","4.4","5.9","2.9","5.2","7.0","3.3","5.0","6.7","3.3","5.8","7.6","4.0"
"Estonia","0.5","0.8","0.2","0.5","0.8","0.2","0.6","1.0","0.3","1.1","2.0","0.4","1.9","3.4","0.6"
"Eswatini","3.3","3.2","3.4","3.4","3.3","3.4","3.3","3.3","3.3","3.2","3.4","3.0","2.8","2.8","2.8"
"Ethiopia","2.9","3.6","2.2","3.0","3.7","2.3","3.4","4.3","2.6","4.2","5.4","2.9","5.1","6.9","3.2"
"Fiji","0.4","0.7","0.2","0.5","0.7","0.2","0.5","0.8","0.2","0.6","0.9","0.2","0.6","0.9","0.3"
"Finland","0.2","0.3","0.2","0.2","0.3","0.2","0.3","0.4","0.2","0.3","0.5","0.2","0.4","0.7","0.2"
